id;start_date;end_date;language
1;2020-12-06T15:11:36;2020-12-06T13:01:51;SPANISH
2;2020-12-05T20:01:47;2020-12-06T15:06:12;SPANISH
3;2020-12-06T10:57:06;2020-12-05T21:31:15;FRENCH
4;2020-12-06T02:14:37;2020-12-06T13:46:03;FRENCH
5;2020-12-06T11:44:55;2020-12-06T16:31:54;FRENCH
6;2020-12-06T05:37:16;2020-12-06T17:45:30;FRENCH
7;2020-12-06T07:22:36;2020-12-06T01:13:27;FRENCH
8;2020-12-06T06:18:49;2020-12-06T16:34:57;SPANISH
9;2020-12-06T04:59:58;2020-12-06T01:41:21;SPANISH
10;2020-12-06T13:12:02;2020-12-05T23:46:32;SPANISH
